rank,make,model_gen,generation,segment,score,weight_coverage,stock,rarity_tier,rarity,conservation,sorn_ratio,recent_inflection_point,relative_attrition,inflection_year,latest_year,components_available
60,MERCEDES-BENZ,SLS AMG,C197,SUPERCAR,0.5793864623027885,1.0,224,<500,0.4986425993831912,0.42338709677419356,0.49507389162561577,1.0,-0.0013408555159956927,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
61,NISSAN,SKYLINE GT-R,R34,SPORTIVE,0.5762102993132847,1.0,117,<500,0.5588123978624021,0.967741935483871,0.6934523809523809,0.0,-0.1071860787352094,2017,2026,rarity|conservation|sorn_ratio|recent_inflection_point
62,RENAULT,MEGANE RS,MK2,GTI,0.5761708563873544,1.0,767,>=500,0.38461239252271867,0.5080645161290323,0.5727019498607242,1.0,-0.007640968200772619,2022,2025,rarity|conservation|sorn_ratio|recent_inflection_point
63,SEAT,LEON CUPRA,1P,GTI,0.5651578797316563,1.0,1236,>=500,0.3404073395391876,0.7540322580645161,0.28753623188405797,1.0,-0.03279684663199424,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
64,HONDA,CIVIC TYPE R,EP3,GTI,0.5647979580365632,1.0,4139,>=500,0.22844003052562828,0.6814516129032258,0.5724052206339342,1.0,-0.023204247079180187,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
65,FERRARI,F430,F430,SUPERCAR,0.5616040080327855,1.0,960,>=500,0.36381873671750703,0.5040322580645161,0.5412969283276451,1.0,-0.007581608044424988,2023,2026,rarity|conservation|sorn_ratio|recent_inflection_point
66,ASTON MARTIN,DB9,DB9,COUPE,0.5587176678947696,1.0,3465,>=500,0.2449067498452171,0.8064516129032258,0.3569370111156855,1.0,-0.03852937963082229,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
67,LOTUS,ELISE,S2,SPORTIVE,0.5510359669482316,1.0,1873,>=500,0.3018987695400416,0.5846774193548387,0.4960102138525375,1.0,-0.01565119723306943,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
68,MASERATI,QUATTROPORTE,M139,PREMIUM,0.550271711498003,1.0,1072,>=500,0.35359563369576874,0.5241935483870968,0.47732426303854875,1.0,-0.009160169202456811,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
69,TVR,CERBERA,CERBERA,COUPE,0.5405041936843735,1.0,293,<500,0.47376518216016594,0.9596774193548386,0.6738351254480287,0.0,-0.08367046921274415,2017,2026,rarity|conservation|sorn_ratio|recent_inflection_point
70,LOTUS,EVORA,122,SPORTIVE,0.5382498098453599,1.0,682,>=500,0.39549411087545144,0.5282258064516129,0.33885209713024284,1.0,-0.009669755903772191,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
71,ALFA ROMEO,4C,960,SPORTIVE,0.5363807937633294,1.0,480,<500,0.42803477475112545,0.4959677419354839,0.3128834355828221,1.0,-0.006698368599159826,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
72,OPEL,ASTRA OPC,H,GTI,0.5350249563150122,1.0,2987,>=500,0.2586591354848855,0.6370967741935484,0.4261003267345762,1.0,-0.019540662482571095,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
73,ALFA ROMEO,147 GTA,937,GTI,0.5327609016724271,1.0,153,<500,0.533959306268929,0.9717741935483871,0.5146579804560261,0.0,-0.10840308087690072,2017,2026,rarity|conservation|sorn_ratio|recent_inflection_point
74,BMW,Z8,E52,ROADSTER,0.5282060432426334,1.0,78,<100,0.5963763720569525,0.7741935483870968,0.6296296296296297,0.0,-0.034135629263767654,2017,2026,rarity|conservation|sorn_ratio|recent_inflection_point
75,JAGUAR,XK,X150,COUPE,0.5273605961621942,1.0,10169,>=500,0.1451631530123373,0.8830645161290323,0.27893681787809044,1.0,-0.04868994160730568,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
76,HONDA,S2000,AP1_AP2,ROADSTER,0.5264832882556221,1.0,3801,>=500,0.2363323885919028,0.5564516129032258,0.5232702451132485,1.0,-0.011407441173462353,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
