make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,sorn_ratio
LEXUS,LS400,XF10_XF20,PREMIUM,GB,generation,VEH0124,2025,686,>=500,,0.25857519788918204,9,0.11988313195652178,0.045451002168836754,4,,0.6508905852417303
LEXUS,LS400,XF10_XF20,PREMIUM,NL,generation,RDW,2026,143,<500,,1.0,0,,,0,,
LEXUS,SC430,Z40,ROADSTER,GB,generation,VEH0124,2025,1372,>=500,2275,0.6030769230769231,9,0.04235928226693054,-0.030203462576811564,22,2020,0.29677088672475654
LEXUS,SC430,Z40,ROADSTER,NL,generation,RDW,2026,308,<500,,1.0,0,,,0,,
LOTUS,ELISE,S1,SPORTIVE,GB,generation,VEH0124,2025,1191,>=500,1026,0.5778748180494906,9,0.049092244710361804,-0.01376361765257976,30,2017,0.6434131736526946
LOTUS,ELISE,S1,SPORTIVE,NL,generation,RDW,2026,243,<500,,1.0,0,,,0,,
LOTUS,ELISE,S2,SPORTIVE,GB,generation,VEH0124,2025,1579,>=500,6458,0.24450294208733353,9,0.04897717873856916,-0.01565119723306943,34,2021,0.4960102138525375
LOTUS,ELISE,S2,SPORTIVE,NL,generation,RDW,2026,294,<500,,1.0,0,,,0,,
LOTUS,ESPRIT,X180_S4,SUPERCAR,GB,generation,VEH0124,2025,358,<500,77,0.6691588785046729,9,0.031080452593923242,,1,,0.6942783945345858
LOTUS,ESPRIT,X180_S4,SUPERCAR,NL,generation,RDW,2026,36,<100,,1.0,0,,,0,,
LOTUS,EVORA,122,SPORTIVE,GB,generation,VEH0124,2025,599,>=500,1178,0.5084889643463497,9,0.03583070074175168,-0.009669755903772191,31,2025,0.33885209713024284
LOTUS,EVORA,122,SPORTIVE,NL,generation,RDW,2026,83,<100,,1.0,0,,,0,,
LOTUS,EXIGE,S1,SPORTIVE,GB,generation,VEH0124,2025,36,<100,175,0.2057142857142857,9,0.12258874210656405,0.059732879743622486,30,,0.7647058823529411
LOTUS,EXIGE,S1,SPORTIVE,NL,generation,RDW,2026,5,<20,,1.0,0,,,0,,
LOTUS,EXIGE,S2,SPORTIVE,GB,generation,VEH0124,2025,350,<500,1418,0.2468265162200282,9,0.02913675397327209,-0.0354916219983665,34,2023,0.5084269662921348
LOTUS,EXIGE,S2,SPORTIVE,NL,generation,RDW,2026,63,<100,,1.0,0,,,0,,
MASERATI,3200 GT,338,COUPE,GB,generation,VEH0124,2025,161,<500,386,0.3870192307692308,9,0.08855044233871913,-0.011058212987700558,23,2019,0.7029520295202952
MASERATI,3200 GT,338,COUPE,NL,generation,RDW,2026,165,<500,,1.0,0,,,0,,
MASERATI,4200,M138,COUPE,GB,generation,VEH0124,2025,508,>=500,1500,0.33866666666666667,9,0.09074017442281967,-0.028256184606359022,27,2019,0.573109243697479
MASERATI,4200,M138,COUPE,NL,generation,RDW,2026,271,<500,,1.0,0,,,0,,
MASERATI,GHIBLI,II,COUPE,GB,generation,VEH0124,2025,13,<20,,0.40625,9,0.17559182187513736,0.09106381667981497,16,,0.821917808219178
MASERATI,GHIBLI,II,COUPE,NL,generation,RDW,2026,45,<100,,1.0,0,,,0,,
MASERATI,GRANTURISMO,M145,COUPE,GB,generation,VEH0124,2025,2067,>=500,3114,0.6637764932562621,9,0.024838028355131426,-0.010360292478741682,16,2023,0.24644549763033174
MASERATI,GRANTURISMO,M145,COUPE,NL,generation,RDW,2026,475,<500,,1.0,0,,,0,,
MASERATI,QUATTROPORTE,M139,PREMIUM,GB,generation,VEH0124,2025,461,<500,1140,0.4043859649122807,9,0.10249482965612199,-0.005156875161388796,8,2021,0.47732426303854875
MASERATI,QUATTROPORTE,M139,PREMIUM,NL,generation,RDW,2026,611,>=500,,1.0,0,,,0,,
MAZDA,MX-3,EC,COUPE,GB,generation,VEH0124,2025,119,<500,,0.11911911911911911,9,0.16288648753059698,0.07835848233527459,16,,0.7901234567901234
MAZDA,MX-3,EC,COUPE,NL,generation,RDW,2026,217,<500,,1.0,0,,,0,,
MAZDA,MX-5,NA,ROADSTER,GB,generation,VEH0124,2025,5599,>=500,,0.3954375308990748,9,0.07252111916916625,0.008122663561363569,4,,0.6949771191980824
